iter	Passed	Remaining
554	6645	5328
555	6657	5316
556	6673	5307
557	6685	5295
558	6699	5285
559	6714	5275
560	6730	5267
561	6745	5257
562	6764	5250
563	6781	5242
564	6802	5237
565	6816	5226
566	6832	5217
567	6849	5209
568	6863	5198
569	6879	5189
570	6892	5178
571	6910	5170
572	6921	5158
573	6936	5147
574	6952	5138
575	6967	5128
576	6979	5116
577	6991	5104
578	7002	5091
579	7014	5079
580	7028	5068
581	7040	5056
582	7052	5044
583	7064	5031
584	7074	5018
585	7085	5005
586	7097	4993
587	7107	4980
588	7117	4966
589	7128	4953
590	7137	4939
591	7147	4926
592	7161	4915
593	7174	4903
594	7189	4893
595	7201	4881
596	7214	4870
597	7230	4860
598	7245	4850
599	7262	4841
600	7277	4831
601	7293	4822
602	7311	4813
603	7324	4802
604	7340	4792
605	7353	4781
606	7366	4769
607	7378	4757
608	7391	4745
609	7404	4734
610	7416	4721
611	7429	4710
612	7442	4698
613	7454	4686
614	7465	4673
615	7477	4661
616	7489	4649
617	7501	4637
618	7514	4625
619	7526	4613
620	7536	4599
621	7546	4585
622	7556	4572
623	7571	4562
624	7583	4550
625	7594	4537
626	7605	4524
627	7616	4511
628	7627	4498
629	7639	4486
630	7653	4475
631	7665	4463
632	7677	4451
633	7689	4438
634	7699	4425
635	7711	4413
636	7725	4402
637	7737	4390
638	7751	4379
639	7763	4367
640	7776	4355
641	7789	4343
642	7801	4331
643	7812	4318
644	7826	4307
645	7839	4295
646	7848	4281
647	7859	4269
648	7871	4257
649	7881	4244
650	7890	4230
651	7901	4217
652	7910	4203
653	7921	4190
654	7933	4178
655	7943	4165
656	7953	4152
657	7963	4139
658	7973	4126
659	7983	4112
660	7995	4100
661	8006	4088
662	8018	4075
663	8034	4065
664	8046	4053
665	8057	4040
666	8068	4028
667	8079	4015
668	8090	4002
669	8101	3990
670	8113	3978
671	8124	3965
672	8135	3952
673	8144	3939
674	8153	3925
675	8165	3913
676	8176	3901
677	8186	3887
678	8196	3874
679	8209	3863
680	8219	3850
681	8230	3837
682	8244	3826
683	8255	3814
684	8269	3802
685	8280	3790
686	8291	3777
687	8300	3764
688	8311	3751
689	8321	3738
690	8332	3726
691	8342	3713
692	8351	3699
693	8362	3687
694	8373	3674
695	8383	3661
696	8392	3648
697	8401	3635
698	8412	3622
699	8422	3609
700	8431	3596
701	8443	3584
702	8452	3570
